Node,C1,C2,C3
304,399,-400,-360
305,400,-401,-364
307,402,-346,-403
308,403,-347,-404
317,413,412,-414
318,414,-268,-415
319,415,-273,-416
384,277,-280,-278
270,359,360,-361
272,362,-363,-369
274,363,365,-366
287,383,382,-384
289,381,-386,385
376,509,507,-508
228,508,504,-310
230,346,311,-312
231,312,-314,-313
232,502,-315,501
237,319,332,-320
239,321,334,-322
241,323,336,-324
243,325,-304,-326
251,313,337,-338
225,305,-303,-306
220,306,-300,-307
222,302,301,-299
218,299,294,-295
217,298,292,-294
293,422,-517,-516
213,513,-426,-429
326,426,-427,-515
322,418,-431,-419
323,419,431,-420
324,420,-421,433
359,483,492,-484
333,462,438,-439
351,467,466,-468
346,456,454,-457
336,457,441,-442
337,442,-491,-499
372,500,499,-443
364,491,488,-489
348,455,-456,-458
349,460,458,-459
342,447,-460,-448
343,448,459,-453
339,444,-445,497
344,451,-473,-496
368,496,-497,-498
327,445,489,-428
206,261,-203,-262
205,260,-261,-258
208,264,-804,-265
207,263,-804,-264
202,255,-256,-804
198,248,-250,-249
212,110,-804,-111
96,108,-109,-112
95,239,-107,-108
193,237,-238,-239
93,238,-103,-105
92,102,-104,103
191,235,-248,-234
189,231,233,-232
184,226,-803,-227
183,225,-803,-226
91,101,100,-102
84,246,93,-94
76,85,244,-86
196,242,-244,-243
70,201,80,-81
69,79,202,-80
170,206,-209,-207
174,211,212,-213
179,218,213,-219
160,192,193,-194
159,191,-65,-64
57,66,172,-67
58,68,67,-69
143,183,173,-172
53,60,188,-61
137,171,164,-163
128,148,-150,-149
126,144,-147,-146
122,140,-141,-806
120,138,-139,-168
139,167,168,-166
140,166,-153,-165
117,133,-137,-135
118,135,-136,-134
115,129,131,-132
113,128,-130,-129
112,127,-221,-128
108,123,-214,-124
51,58,-59,-114
5,4,-184,-5
8,7,-54,-8
16,15,-158,-16
17,511,16,-18
20,20,160,-21
219,295,-296,-297
33,37,151,-38
129,150,-152,-151
36,40,41,-42
37,42,113,-43
38,309,43,-44
39,330,44,-45
40,45,-46,288
41,46,-267,-47
42,47,-48,-291
215,291,-290,-289
43,48,266,-82
386,285,271,-286
379,269,-270,-285
378,268,-269,-284
388,284,-287,-283
389,283,287,-282
381,273,282,-272
45,286,51,-52
46,52,-274,-4600
4600,4600,-53,272
382,274,-275,-276
235,314,317,-23500
23500,23500,-318,-337
314,379,368,-31400
31400,31400,409,-410
316,411,290,-31600
31600,31600,-412,-413
385,276,-281,-38500
38500,38500,280,-279
288,390,384,-28800
28800,28800,-805,-385
285,386,378,-28500
28500,28500,371,-379
246,345,328,-24600
24600,24600,-329,355
321,517,417,-32100
32100,32100,-423,-512
330,-452,430,-33000
33000,33000,432,-433
356,470,475,-35600
35600,35600,-476,-471
355,471,477,-35500
35500,35500,478,-472
361,481,472,-36100
36100,36100,485,-486
363,469,487,-36300
36300,36300,490,-488
332,461,437,-33200
33200,33200,464,-438
334,463,439,-33400
33400,33400,-467,-440
338,449,443,-33800
33800,33800,-444,450
209,267,265,-20900
20900,20900,257,-266
203,-801,256,-20300
20300,20300,259,-257
201,253,250,-20100
20100,20100,-260,254
200,-254,252,-20000
20000,20000,249,-253
199,-804,251,-19900
19900,19900,-252,-255
97,106,-251,-9700
9700,9700,-110,109
94,105,104,-9400
9400,9400,-106,107
90,99,232,-9000
9000,9000,-100,-101
81,223,90,-8100
8100,8100,-224,-91
74,219,84,-7400
7400,7400,243,-85
71,-205,81,-7100
7100,7100,-802,-220
172,208,209,-17200
17200,17200,-212,-210
55,64,-63,-5500
5500,5500,-193,62
56,63,65,-5600
5600,5600,-66,-68
127,147,145,-12700
12700,12700,-148,146
124,-806,142,-12400
12400,12400,-236,-143
131,154,-806,-13100
13100,13100,-157,-155
119,136,137,-11900
11900,11900,-138,-167
116,132,-245,-11600
11600,11600,-133,134
28,30,-29,-2800
2800,2800,-31,28
29,296,31,-2900
2900,2900,-32,-34
30,149,-35,-3000
3000,3000,-33,32
31,297,34,-3100
3100,3100,33,-36
32,300,36,-3200
3200,3200,35,-37
34,38,152,-3400
3400,3400,-41,-39
44,262,247,-4400
4400,4400,-50,49
380,270,50,-38000
38000,38000,-51,-271
383,416,53,-38300
38300,38300,-38301,-482
38301,38301,279,-277
320,278,281,-32000
32000,32000,275,-32001
32001,32001,-417,-422
210,516,512,-21000
21000,21000,-21001,429
21001,21001,-424,-513
328,514,427,-32800
32800,32800,-32801,428
32801,32801,-430,498
98,112,111,-9800
9800,9800,-804,-9801
9801,9801,-263,-113
25,25,161,-2500
2500,2500,-2501,-26
2501,2501,27,-30
125,157,-806,-12500
12500,12500,143,-12501
12501,12501,-12502,156
12502,12502,-145,-144
23,23,-24,293
915,217,-218,915
