channel,upNode,downNode
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,14,15
15,15,16
16,16,17
17,393,1
18,17,18
19,18,19
20,19,20
21,20,21
22,21,22
23,22,23
24,23,24
25,24,25
26,25,26
27,27,25
28,26,28
29,28,27
30,25,28
31,28,29
32,29,30
33,30,31
34,29,31
35,30,32
36,31,32
37,32,33
38,33,34
39,34,35
40,35,36
41,34,36
42,36,37
43,37,38
44,38,39
45,39,40
46,40,41
47,41,42
48,42,43
49,387,44
50,44,380
51,380,45
52,45,46
53,46,383
54,8,47
55,47,48
56,48,49
57,49,50
58,50,51
59,51,52
60,52,53
61,53,54
62,54,55
63,55,56
64,159,55
65,159,56
66,56,57
67,57,58
68,56,58
69,58,59
70,59,60
71,60,61
72,61,62
73,62,63
74,63,64
75,64,65
76,65,66
77,66,67
78,67,68
79,68,69
80,69,70
81,70,71
82,43,387
83,72,73
84,73,74
85,74,76
86,76,77
87,77,78
88,78,79
89,79,80
90,80,81
91,81,82
92,82,83
93,83,84
94,84,85
95,85,86
96,86,87
97,87,88
98,88,89
99,89,90
100,90,91
101,90,91
102,91,92
103,93,92
104,92,94
105,93,94
106,94,97
107,95,94
108,95,96
109,96,97
110,97,212
111,212,98
112,96,98
113,98,37
114,51,99
115,99,100
116,100,101
117,101,102
118,102,103
119,103,104
120,104,105
121,105,106
122,106,107
123,107,108
124,108,109
125,109,110
126,110,111
127,111,112
128,112,113
129,113,115
130,113,114
131,114,115
132,115,116
133,116,117
134,118,116
135,117,118
136,118,119
137,117,119
138,119,120
139,120,121
140,121,122
141,122,123
142,123,124
143,124,125
144,125,126
145,125,127
146,126,127
147,126,127
148,127,128
149,128,30
150,128,129
151,129,33
152,129,34
153,139,130
154,130,131
155,131,132
156,132,125
157,131,125
158,16,133
159,133,134
160,134,20
161,135,25
162,136,135
163,137,136
164,138,137
165,139,138
166,140,139
167,119,140
168,120,140
169,394,141
170,141,142
171,142,137
172,143,57
173,395,143
174,396,144
175,144,145
176,145,146
177,146,147
178,147,148
179,148,149
180,149,150
181,150,151
182,151,152
183,152,143
184,5,153
185,153,154
186,154,155
187,155,156
188,156,53
189,397,157
190,157,158
191,158,159
192,398,160
193,55,160
194,160,161
195,161,162
196,162,163
197,163,164
198,164,165
199,165,166
200,166,167
201,167,70
202,168,69
203,206,75
204,399,168
205,71,169
206,169,170
207,170,171
208,171,172
209,170,172
210,172,173
211,173,174
212,172,174
213,174,179
214,108,175
215,175,176
216,176,177
217,177,178
218,178,179
219,179,74
220,71,72
221,112,180
222,180,181
223,181,81
224,81,182
225,182,183
226,183,184
227,184,185
228,185,186
229,186,187
230,187,188
231,188,189
232,189,90
233,190,189
234,191,190
235,400,191
236,124,192
237,192,193
238,193,93
239,193,95
240,401,194
241,194,195
242,195,196
243,196,74
244,196,76
245,116,197
246,197,84
247,75,44
248,191,198
249,198,200
250,198,201
251,97,199
252,199,200
253,200,201
254,200,201
255,199,202
256,202,203
257,203,209
258,205,204
259,204,203
260,201,205
261,205,206
262,206,44
263,98,207
264,207,208
265,208,209
266,209,43
267,41,209
268,318,378
269,378,379
270,379,380
271,380,386
272,381,46
273,319,381
274,46,382
275,382,320
276,382,385
277,383,384
278,384,320
279,385,383
280,384,385
281,385,320
282,389,381
283,388,389
284,378,388
285,379,386
286,386,45
287,388,389
288,214,40
289,215,214
290,215,316
291,42,215
292,216,217
293,216,23
294,217,218
295,218,219
296,219,29
297,219,31
298,221,217
299,222,218
300,220,32
301,221,222
302,223,222
303,225,223
304,243,224
305,224,225
306,225,220
307,220,226
308,226,227
309,227,38
310,228,229
311,229,230
312,230,231
313,231,251
314,231,235
315,232,233
316,233,234
317,234,235
318,235,236
319,236,237
320,237,238
321,238,239
322,239,240
323,240,241
324,241,242
325,242,243
326,243,244
327,244,245
328,245,246
329,246,247
330,247,39
331,403,248
332,248,237
333,404,249
334,249,239
335,405,250
336,250,241
337,235,251
338,251,252
339,252,253
340,253,254
341,254,255
342,255,256
343,256,257
344,257,258
345,258,246
346,307,230
347,308,259
348,259,260
349,260,261
350,261,262
351,262,263
352,263,264
353,264,265
354,265,266
355,266,246
356,406,267
357,267,268
358,268,269
359,269,270
360,304,270
361,270,271
362,271,272
363,272,274
364,305,273
365,273,274
366,274,275
367,275,276
368,276,314
369,272,277
370,277,278
371,278,285
372,407,279
373,279,280
374,280,281
375,281,282
376,282,283
377,283,284
378,284,285
379,285,314
380,408,286
381,286,289
382,409,287
383,410,287
384,287,288
385,288,289
386,289,285
387,402,290
388,290,291
389,291,292
390,292,288
391,295,296
392,296,297
393,297,298
394,298,299
395,299,300
396,300,301
397,301,302
398,302,303
399,303,304
400,304,305
401,305,306
402,306,307
403,307,308
404,308,309
405,309,310
406,310,311
407,311,312
408,312,313
409,313,314
410,314,315
411,315,316
412,316,317
413,316,317
414,317,318
415,318,319
416,319,383
417,320,321
418,325,322
419,322,323
420,323,324
421,324,412
422,320,293
423,321,325
424,210,294
425,294,329
426,213,326
427,326,328
428,327,328
429,213,210
430,328,330
431,322,323
432,329,330
433,330,324
434,414,331
435,331,340
436,420,347
437,413,332
438,332,333
439,333,334
440,334,335
441,335,336
442,336,337
443,372,338
444,338,339
445,339,327
446,340,341
447,341,342
448,342,343
449,370,338
450,369,338
451,345,344
452,330,345
453,343,370
454,416,346
455,347,348
456,348,346
457,346,336
458,348,349
459,349,343
460,342,349
461,417,332
462,353,333
463,419,334
464,350,332
465,418,353
466,421,351
467,334,351
468,351,352
469,352,363
470,422,356
471,356,355
472,355,361
473,344,371
474,371,369
475,424,356
476,356,357
477,357,355
478,425,355
479,423,354
480,354,350
481,426,361
482,383,358
483,358,359
484,359,360
485,360,361
486,361,362
487,362,363
488,363,364
489,364,327
490,411,363
491,337,364
492,365,359
493,366,365
494,367,366
495,427,367
496,344,368
497,368,339
498,368,328
499,337,372
500,415,372
501,428,232
502,429,232
503,430,373
504,373,228
505,431,374
506,374,375
507,375,376
508,376,228
509,432,376
510,433,377
511,377,17
512,321,210
513,210,213
514,211,328
515,326,211
516,293,210
517,293,321
518,390,295
519,391,390
520,392,391
521,434,392
